Año,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
Periodo,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual
Entidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Estados Unidos Mexicanos,78.7900151823981,81.0365711085984,79.5700972711792,81.7542564906524,80.287735013207,81.5073615323286,84.3902563838482,82.5180405505472,85.3056062167634,83.4303161708718,82.064846105537,86.6506153618847,84.6437440057614,87.957581723587,85.3291967991925,86.6282362027627,90.2076752414512,88.5537731848029,90.8520162188246,89.0604252119603,88.3787091466749,92.0048579958779,90.6724792451041,93.4471987306846,91.1258112795854,89.3690725491923,94.3289478249664,91.799897325966,92.7973363893041,92.0738135223572,84.4344193200711,86.0797514532756,87.2457623482622,91.2493022516199,87.2523088433072,88.2663718058364,92.0546322710891,91.5290181729347,95.1575712993918,91.751898387313,91.4998379556814,94.5888748083518,95.2603179454868,99.0424060095184,95.0978591797596,95.9581229366869,98.472675086861,97.9259275753286,102.231716907501,98.6471106265944,96.6153849691802,100.544355742659,99.3587333403254,103.481525947835,100,99.2028952725841,102.774491035499,102.114836430637,106.763706622388,102.713982340277,102.557160894373,105.865934438729,106.172197086952,109.359612398311,105.988726204591,105.147863804729,108.851115432964,107.716332577867,112.548269436733,108.565895313073,108.663041465325,110.581699361403,109.343067072594,114.55559203767,110.785849984248,110.230842158911,114.201546936701,112.393113951784,115.8563573456,113.170465098249,111.378345865161,112.86886951355,111.910409286331,114.988744452309,112.786592279338,109.956072760031,,,,
          Aguascalientes,67.407100252677,68.7219404173115,72.1977537641384,72.1900140935228,70.1292021319124,69.0165058307901,73.0645444382472,73.1532428838647,77.6803842481861,73.228669350272,72.7467734351303,74.6261348360407,74.3176649159576,78.3387263126175,75.0073248749365,75.5115060654647,78.7608970701126,80.6739134525895,84.7190671094179,79.9163459243962,84.9980128332982,85.0789227827286,89.0668064316152,88.7435147650641,86.9718142031765,84.048114590447,88.4765724582132,89.0325162310834,87.8226215317711,87.3449562028787,78.387076289025,80.1284412862844,85.1661760603829,87.8853465651243,82.8917600502042,84.7994165887014,86.6802342872515,90.4263839732615,90.3790695734101,88.0712761056561,88.2298099069055,90.4766081112658,92.6425898765302,96.5112851506251,91.9650732613317,94.5779436629894,96.2614837020063,96.769137965608,100.553654966522,97.0405550742815,96.9582948770238,100.287548144398,100.612234825645,102.141922152933,100,107.002819216848,108.922080096582,109.889613845044,115.06576127653,110.220068608751,110.713305070331,113.765321409611,115.326619526614,118.984420555212,114.697416640442,116.056419057937,124.186863389941,123.159323740931,126.521861282256,122.481116867766,125.823879918952,123.884097988359,125.440788638742,126.424992065046,125.393439652775,129.093260112063,127.705023190865,129.217555036731,134.31011423081,130.081488142617,129.6158173494,130.090193115246,129.15401211333,131.125898544736,129.996480280678,125.393305875354,,,,
          Baja California,87.3765487677738,86.4766063477633,85.5404791173929,83.8875084858031,85.8202856796833,88.0751888252106,94.5387115660218,90.5482337272564,90.303436155237,90.8663925684314,88.0398898036116,93.5244190102873,93.8198490992304,96.6761603304161,93.0150795608864,91.846726706716,98.2320121239821,100.336161637859,101.417625331031,97.9581314498968,94.0986342262347,99.1346423092376,102.605833070018,100.772523726179,99.1529083329174,96.9441434383569,101.592705774636,99.85184831371,94.7647231398595,98.2883551666405,85.281823601286,88.2586367956616,87.9758507738136,88.8375602912659,87.5884678655068,86.0970962181001,93.382456875633,93.8797150561492,94.5374738821761,91.9741855080146,90.036953875651,94.5086269536658,96.1060906803378,98.0183895461941,94.6675152639622,92.6719251958316,99.4432311255051,99.4668506335828,100.25496803663,97.9592437478874,95.4106583017227,101.001722224282,102.102781612119,101.484837861876,100,96.1947752092023,103.582715730019,103.783247165118,107.263384708478,102.706030703204,103.920003270692,109.792182841989,111.644767191317,114.112341393613,109.867323674403,108.392016481637,115.145887686236,116.591657339077,120.041642538827,115.042801011444,113.181911633631,120.298690043434,119.497066966604,122.466249557362,118.860979550258,116.749483637693,124.562496770928,121.145523625356,123.785552483446,121.560764129356,121.086899962212,125.871151992649,124.362046965786,124.798588141429,124.029671765519,120.234381200951,,,,
          Baja California Sur,64.9169033281925,64.942065238215,65.5266211659174,69.0642096614437,66.1124498484422,63.9827610860652,72.3298353575003,70.1909611808325,77.0665736139224,70.8925328095801,75.4745606696756,76.869197697914,73.2886696038135,78.2864156829581,75.9797109135903,79.3839496909474,81.3537311476058,80.4150183232658,84.5276935268893,81.4200981721771,86.4591434517107,89.8856529508614,96.2991046571091,96.6566352524821,92.3251340780408,95.2813889448026,99.3428454652322,93.7126465565312,90.6167485962029,94.7384073906922,92.0179753593618,95.3796605083058,91.742653453466,97.5997955216107,94.1850212106861,96.6320354221478,96.4221002222901,93.8197517777448,97.9254409905255,96.1998321031771,100.236972086554,98.6975124365577,97.7634339427606,102.189719911097,99.7219095942423,99.4004747308805,105.163289506938,98.8537674221647,104.643800752493,102.015333103119,97.2892293008594,99.2139519862812,98.2641028890362,105.232715823823,100,100.207869794474,101.016984246462,98.7669806014479,103.483419537057,100.86881354486,114.521426114626,115.817586403152,109.745493247291,113.791226902047,113.468933166779,110.899312250307,112.821600288019,116.314402008042,125.761152116496,116.449116665716,116.894117175391,125.682618622397,136.668972848574,136.722898189632,128.992151708998,138.296191895868,150.564469880141,161.460985787775,151.437574570223,150.439805533502,133.66973032047,142.917908646319,142.03104770126,139.110465865435,139.432288133371,124.563425273217,,,,
          Campeche,143.502398023639,143.506737734647,147.533599425115,146.532305978134,145.268760290384,144.278049816418,146.809555821735,148.510663162108,148.160976941015,146.939811435319,143.371337805022,147.365902382749,142.4974115497,142.860362861887,144.023753649839,145.176360670149,144.05402661258,140.371591004289,133.039190305893,140.660292148228,134.053654408341,134.841125785154,129.694365706577,127.049529958404,131.409668964619,124.378684074954,120.329338956854,119.039795672401,117.322220943172,120.267509911845,112.780078123714,107.919104269895,106.97110672648,105.431139952742,108.275357268208,105.798733149164,105.122649117042,104.032508785936,103.287244960162,104.560284003076,102.818119242016,100.939571073034,98.2236318308991,101.024589968952,100.751478028725,98.3782654900739,97.9471713243442,99.4387569346672,100.742179997112,99.1265934365492,99.7867643454487,99.768562874602,100.191470962592,100.253201817357,100,98.1477645425835,95.3277144602672,93.0789502748436,93.9728117566809,95.1318102585938,92.1142957244479,86.4626158555057,88.0322023773103,87.082661973074,88.4229439825845,86.9928809059983,82.5932692336279,82.7762151369321,80.8090152009337,83.292845119373,78.4476836861557,75.7326337822591,71.2766109079644,72.9170678040845,74.5934990451159,73.8813686059304,73.7171641747635,73.8124855858342,72.3597637031663,73.4426955174236,72.1080081835086,71.8452036313339,72.2186376957167,71.2622978143915,71.8585368312377,72.232214060139,,,,
          Coahuila de Zaragoza,79.0031683537984,79.7766217003728,81.5489961502869,84.1363570672643,81.1162858179306,81.8643894604599,83.2140653099351,83.6127307275821,85.116358946787,83.451886111191,81.2007498100341,85.7019598907608,85.8290868605275,88.3027272184812,85.2586309449509,86.9945694235712,90.9674522357081,89.6285623696456,89.512318725485,89.2757256886024,86.6686650745381,94.0990640993182,94.590650714604,96.6016047392746,92.9899961569337,92.2182415338715,95.0272780768949,92.0372879789388,91.0778806720165,92.5901720654304,74.4649121003748,74.7951845119035,79.0956370450734,84.7784311055458,78.2835411907244,85.0737907764008,91.8327478293147,92.9111509936776,94.3186274312883,91.0340792576703,94.25951595976,96.8567862632914,97.9555410549478,99.7801239812358,97.2129918148087,99.9727624183917,104.261791056497,103.05993518501,101.137075285203,102.107890986275,95.9235458391553,100.330856069582,101.037821401931,102.707776689332,100,100.107314978782,104.066357227384,104.89588430582,106.545378502485,103.903733753618,100.548457612412,104.247044168203,107.416457288572,106.904443016178,104.779100521342,103.389593058033,105.642947912084,106.881902293512,109.381865148389,106.324077103004,107.979306405643,112.508561625279,112.017482987934,114.699585105322,111.801234031045,110.371425023778,115.619654869297,113.119819021554,113.541172698052,113.16301790317,110.313742449395,116.253820538679,115.352927942093,111.508177789421,113.357167179897,103.910356102082,,,,
          Colima,69.6376164751631,74.9987218306795,75.6288025597908,76.0862850329792,74.0878564746531,71.5268756352305,72.9749420189952,75.2981762907007,76.8188464908366,74.1547101089407,71.1054608841447,74.8708664578276,76.0835054842341,76.5896691918156,74.6623755045055,77.4670618715363,79.8086873079386,79.3614610563085,80.7193521715843,79.3391406018419,88.2794745709172,86.1406763587713,82.0323477522476,82.7480965386468,84.8001488051458,86.5814781598395,86.0773431235622,86.8232174545849,85.963612831411,86.3614128923494,81.7204189442825,82.4398293925855,83.41275735805,86.9045972294271,83.6194007310863,87.3900326141847,87.6059595216867,88.4922627562286,95.2515543881093,89.6849523200523,93.7395606186917,97.0270196064604,97.4248455531031,96.5935921668962,96.1962544862879,95.1176228288017,100.92084489846,98.306280661,101.795548077018,99.0350741163198,97.1531797708683,101.773370575429,99.0396605818456,102.033789071857,100,102.758675671915,101.621959750841,100.522769400501,105.075817867595,102.494805672713,102.849656526304,102.491363669838,104.254131922132,109.899491184052,104.873660825582,105.575392157264,105.173629946615,107.305124258395,113.245658052241,107.824951103629,106.753295003386,109.242188572362,111.32193490002,119.134979605173,111.613099520235,110.179290786672,115.515347857831,114.011521475916,117.402157285432,114.277079351463,115.255981044194,117.896197920777,119.615070048065,124.003880114644,119.19278228192,118.286142863919,,,,
